,Team1,Team2,city1,city2,airfare,coords1,coords2,dist,car_fare,fare,min_fare
30,Atlanta Braves,Arizona D'Backs,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",270.21,"(33.73527778, -84.38944444)","(33.44527778, -112.0669444)",1588.807,145.19930638888889,270.21,145.19930638888889
31,Atlanta Braves,Atlanta Braves,"Atlanta, GA (Metropolitan Area)","Atlanta, GA (Metropolitan Area)",,"(33.73527778, -84.38944444)","(33.73527778, -84.38944444)",0.0,0.0,0.0,0.0
32,Atlanta Braves,Baltimore Orioles,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",170.84,"(33.73527778, -84.38944444)","(39.28388889, -76.62166667)",576.8744,52.71991044444445,170.84,52.71991044444445
33,Atlanta Braves,Boston Red Sox,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",232.37,"(33.73527778, -84.38944444)","(42.34638889, -71.0975)",934.8801,85.43765358333333,232.37,85.43765358333333
34,Atlanta Braves,Chicago Cubs,"Atlanta, GA (Metropolitan Area)","Chicago, IL",180.22,"(33.73527778, -84.38944444)","(41.94833333, -87.65555556)",594.8478,54.362479500000006,180.22,54.362479500000006
35,Atlanta Braves,Chicago White Sox,"Atlanta, GA (Metropolitan Area)","Chicago, IL",180.22,"(33.73527778, -84.38944444)","(41.83, -87.63388889)",586.7388,53.621407,180.22,53.621407
36,Atlanta Braves,Cincinnati Reds,"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",233.68,"(33.73527778, -84.38944444)","(39.0975, -84.50666667)",370.6673,33.87487269444445,233.68,33.87487269444445
37,Atlanta Braves,Cleveland Guardians,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",147.08,"(33.73527778, -84.38944444)","(41.49583333, -81.68527778)",556.3423,50.843504638888895,147.08,50.843504638888895
38,Atlanta Braves,Colorado Rockies,"Atlanta, GA (Metropolitan Area)","Denver, CO",224.21,"(33.73527778, -84.38944444)","(39.75611111, -104.9941667)",1211.2261,110.69260747222224,224.21,110.69260747222224
39,Atlanta Braves,Detroit Tigers,"Atlanta, GA (Metropolitan Area)","Detroit, MI",177.11,"(33.73527778, -84.38944444)","(42.33916667, -83.04861111)",599.0968,54.75079088888889,177.11,54.75079088888889
40,Atlanta Braves,Houston Astros,"Atlanta, GA (Metropolitan Area)","Houston, TX",172.6,"(33.73527778, -84.38944444)","(29.75694444, -95.35555556)",700.2219,63.99250141666667,172.6,63.99250141666667
41,Atlanta Braves,Kansas City Royals,"Atlanta, GA (Metropolitan Area)","Kansas City, MO",222.83,"(33.73527778, -84.38944444)","(39.05138889, -94.48055556)",670.305,61.258429166666666,222.83,61.258429166666666
42,Atlanta Braves,Los Angeles Angels,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",298.43,"(33.73527778, -84.38944444)","(33.80027778, -117.8827778)",1915.7112,175.07471800000002,298.43,175.07471800000002
43,Atlanta Braves,Los Angeles Dodgers,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",298.43,"(33.73527778, -84.38944444)","(34.07361111, -118.24)",1932.9248,176.6478497777778,298.43,176.6478497777778
44,Atlanta Braves,Miami Marlins,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",148.16,"(33.73527778, -84.38944444)","(25.77805556, -80.21972222)",604.027,55.2013563888889,148.16,55.2013563888889
45,Atlanta Braves,Milwaukee Brewers,"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",222.2,"(33.73527778, -84.38944444)","(43.02833333, -87.97111111)",670.7818,61.30200338888889,222.2,61.30200338888889
46,Atlanta Braves,Minnesota Twins,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",277.01,"(33.73527778, -84.38944444)","(44.98166667, -93.27833333)",909.6441,83.13136358333334,277.01,83.13136358333334
47,Atlanta Braves,New York Mets,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",197.11,"(33.73527778, -84.38944444)","(40.75694444, -73.84583333)",755.3319,69.02894308333335,197.11,69.02894308333335
